Surname	Given names	Date of Birth	Place of Birth	Selection	Position	Status	Flights	d	h	m	Marital status	Children	Nation	Date of Death	Place of Death
Abrahamson	James Alan "Abe"	19.05.1933	Williston / North Dakota	30.06.1967	PLT	Ret. 10.06.1969	 	0	0	0	married	five	USA	 	 
Acaba	Joseph Michael	17.05.1967	Inglewood / California	06.05.2004	MSP	active	3	306	0	34	 	 	USA	 	 
Acton	Loren Wilber	07.03.1936	Lewistown / Montana	09.08.1978	PSP	Ret. 06.08.1985	1	7	22	45	married	two	USA	 	 
Adams	Michael James "Mike"	05.05.1930	Sacramento / California	12.11.1965	PLT	Ret. 20.07.1966	 	0	0	0	married	three	USA	15.11.1967	Edwards AFB / California
Adamson	James Craig	03.03.1946	Warsaw / New York	23.05.1984	MSP	Ret. ??.08.1992	2	13	22	21	married	three	USA	 	 
Akers	Thomas Dale	20.05.1951	St. Louis / Missouri	05.06.1987	MSP	Ret. 01.08.1997	4	33	22	43	married	two	USA	 	 
Aldridge	Edward Cleveland, Jr. "Pete"	18.08.1938	Houston / Texas	??.08.1985	PSP	Ret. ??.??.1986	 	0	0	0	married	four	USA	 	 
Aldrin	Edwin Eugene "Buzz"	20.01.1930	Montclair / New Jersey	17.10.1963	PLT	Ret. 01.07.1971	2	12	1	52	married	three	USA	 	 
Allen	Andrew Michael "Andy"	04.08.1955	Philadelphia / Pennsylvania	05.06.1987	CDR	Ret. 01.10.1997	3	37	16	11	married	four	USA	 	 
Allen	Joseph Percival IV "Joe"	27.06.1937	Crawfordsville / Indiana	04.08.1967	MSP	Ret. 01.07.1985	2	13	1	58	married	two	USA	 	 
Altman	Scott Douglas "Scooter" "Bear"	15.08.1959	Lincoln / Illinois	08.12.1994	CDR	Ret. 03.09.2010	4	51	12	47	married	three	USA	 	 
Anders	William Alison "Bill"	17.10.1933	Hongkong	17.10.1963	LMP	Ret. 01.09.1969	1	6	3	0	married	six	USA	 	 
Anderson	Clayton Conrad	23.02.1959	Omaha / Nebraska	04.06.1998	MSP	Ret. ??.06.2011	2	166	21	10	married	two	USA	 	 
Anderson	Lloyd Lynn, Jr.	28.02.1952	Humansville / Missouri	??.02.1988	PSP	Ret. ??.??.????	 	0	0	0	married	two	USA	 	 
Anderson	Michael Philip	25.12.1959	Plattsburgh / New York	08.12.1994	MSP	died 01.02.2003	2	24	18	7	married	two	USA	01.02.2003	over Texas
Ansari	Anousheh	12.09.1966	Tehran / Iran	??.03.2006	UKP	Ret. 29.09.2006	1	10	21	5	married	 	USA	 	 
Antonelli	Dominic Anthony "Tony"	23.08.1967	Detroit / Michigan	26.07.2000	PLT	Ret. 10.07.2015	2	24	13	57	married	two	USA	 	 
Apt	Jerome III "Jay"	28.04.1949	Springfield / Massachusetts	04.06.1985	MSP	Ret. 31.05.1997	4	35	7	9	married	two	USA	 	 
Arceneaux	Hayley	04.12.1991	Baton Rouge / Louisiana	??.??.20??	Tourist	Ret. 18.09.2021	1	2	23	3	 	 	USA	 	 
Archambault	Lee Joseph "Bru"	25.08.1960	Oak Park / Illinois	04.06.1998	CDR	Ret. ??.02.2012	2	26	15	40	married	three	USA	 	 
Armor	James Burton, Jr.	25.09.1950	Oklahoma City / Oklahoma	??.09.1982	MSE	Ret. ??.??.1985	 	0	0	0	married	three	USA	 	 
Armstrong	Neil Alden	05.08.1930	Wapakoneta / Ohio	17.09.1962	CDR	Ret. 01.08.1970	2	8	13	59	married	three	USA	25.08.2012	Cincinnati / Ohio
Arnold	Richard Robert II "Ricky"	26.11.1963	Cheverly / Maryland	06.05.2004	MSP	Ret. ??.09.2020	2	209	13	29	married	two	USA	 	 
Ashby	Jeffrey Shears "Bones"	16.06.1954	Dallas / Texas	08.12.1994	CDR	Ret. ??.06.2008	3	27	16	17	married	 	USA	 	 
Aufderhaar	Grant Clifford	20.08.1948	Celina / Ohio	??.11.1985	PSP	Ret. ??.??.1986	 	0	0	0	married	two	USA	 	 
Auñón-Chancellor	Serena Maria	09.04.1976	Indianapolis / Indiana	29.06.2009	MSP	Ret. ??.10.2019	1	196	17	50	married	one	USA	 	 
Ayers	Nichole Stilwell	13.12.1988	San Diego, California	06.12.2021	PLT	active	 	0	0	0	married	 	USA	 	 
Bagian	James Philipp	22.02.1952	Philadelphia / Pennsylvania	19.05.1980	MSP	Ret. ??.08.1995	2	14	1	53	married	four	USA	 	 
Bailey	Palmer Kent	27.10.1947	Bismarck / North Dakota	25.06.1990	PSP	Ret. ??.??.1992	 	0	0	0	married	two	USA	 	 
Baker	Ellen Louise Shulman	27.04.1953	Fayetteville / North Carolina	23.05.1984	MSP	Ret. ??.01.2012	3	28	14	31	married	two	USA	 	 
Baker	Michael Allen	27.10.1953	Memphis / Tennessee	04.06.1985	CDR	Ret. ??.01.2008	4	40	4	58	married	two	USA	 	 
Barratt	Michael Reed	16.04.1959	Vancouver / Washington	26.07.2000	MSP	active	2	211	11	46	married	five	USA	 	 
Barrett	Barbara McConnell	26.12.1950	Indiana County / Pennsylvania	??.06.2009	UKP	Ret. 11.10.2009	 	0	0	0	married	two	USA	 	 
Barron	Kayla Sax	19.09.1987	Pocatello / Idaho	07.06.2017	PLT	active	1	176	2	39	married	 	USA	 	 
Barry	Daniel Thomas	30.12.1953	Norwalk / Connecticut	31.03.1992	MSP	Ret. ??.04.2005	3	30	14	25	married	two	USA	 	 
Bartoe	John-David Francis	17.11.1944	Abington / Pennsylvania	09.08.1978	PSP	Ret. 06.08.1985	1	7	22	45	married	three	USA	 	 
Bassett	Charles Arthur II "Charlie"	30.12.1931	Dayton / Ohio	17.10.1963	PLT	died 28.02.1966	 	0	0	0	married	two	USA	28.02.1966	St. Louis / Missouri
Bean	Alan LaVern	15.03.1932	Wheeler / Texas	17.10.1963	LMP	Ret. 26.02.1981	2	69	15	45	married	two	USA	26.05.2018	Houston / Texas
Bechis	Kenneth Paul	22.07.1949	Boston / Massachusetts	??.07.1987	PSP	Ret. ??.09.1990	 	0	0	0	married	two	USA	 	 
Behnken	Robert Louis	28.07.1970	Creve Coeur / Missouri	26.07.2000	MSP	active	3	93	11	42	married	one	USA	 	 
Belt	Michael Eugene	09.09.1957	Syracuse / New York	??.09.1988	PSP	Ret. 01.12.1991	 	0	0	0	married	two	USA	 	 
Berríos	Marcos Gabriel	??.01.1984	Fort Campbell, Tennessee	06.12.2021	PLT	active	 	0	0	0	 	 	USA	 	 
Binnie	William Brian	??.??.1953 (?)	West Lafayette / Indiana	??.??.????	PLT	Ret. ??.??.20??	 	0	0	0	married	three	USA	 	 
Birch	Christina	17.11.1986	Mesa, Arizona	06.12.2021	PLT	 	 	0	0	0	 	 	USA	 	 
Blaha	John Elmer	26.08.1942	San Antonio / Texas	19.05.1980	CDR	Ret. 26.09.1997	5	161	2	45	married	three	USA	 	 
Bloomfield	Michael John "Bloomer"	16.03.1959	Flint / Michigan	08.12.1994	CDR	Ret. 13.07.2007	3	32	10	59	married	two	USA	 	 
Bluford	Guion Stewart, Jr. "Guy"	22.11.1942	Philadelphia / Pennsylvania	16.01.1978	MSP	Ret. 15.06.1993	4	28	16	33	married	two	USA	 	 
Bobko	Karol Joseph "Bo"	23.12.1937	New York City / New York	30.06.1966	CDR	Ret. 01.01.1989	3	16	2	3	married	two	USA	 	 
Boe	Eric Allen	01.10.1964	Miami / Florida	26.07.2000	PLT	active	2	28	15	33	married	two	USA	 	 
Boesen	Dennis Lee "Denny"	09.08.1942	Howard County / Nebraska	??.07.1987	PSP	Ret. ??.09.1990	 	0	0	0	married	two	USA	 	 
Bolden	Charles Frank, Jr. "Charlie"	19.08.1946	Columbia / South Carolina	19.05.1980	CDR	Ret. 27.06.1994	4	28	8	37	married	two	USA	 	 
Booen	Michael Warren	30.05.1957	Malmstrom AFB / Montana	??.09.1982	MSE	Ret. ??.??.1987	 	0	0	0	married	two	USA	 	 
Borman	Frank Frederick II	14.03.1928	Gary / Indiana	17.09.1962	CDR	Ret. 01.07.1970	2	19	21	35	widowed	two	USA	 	 
Bowen	Stephen Gerard	13.02.1964	Cohasset / Massachusetts	26.07.2000	MSP	active	3	40	10	1	married	three	USA	 	 
Bowersox	Kenneth Dwane "Sox"	14.11.1956	Portsmouth / Virginia	05.06.1987	CDR	Ret. 30.09.2006	5	211	14	11	married	three	USA	 	 
Brady	Charles Eldon, Jr.	12.08.1951	Pinehurst / North Carolina	31.03.1992	MSP	Ret. 14.08.2002	1	16	21	47	divorced	one	USA	23.07.2006	Orcas Island / Washington
